id,stock_code,company,title,status,error
1225224550,002444,巨星科技,巨星科技：巨星科技2025年度ESG报告（中文版）,downloaded,
1225225336,603683,晶华新材,晶华新材：晶华新材2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225225494,300100,双林股份,双林股份：2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225227537,000901,航天科技,航天科技：2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225230657,600475,华光环能,华光环能：无锡华光环保能源集团股份有限公司2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225230683,600475,华光环能,华光环能：无锡华光环保能源集团股份有限公司2025年度环境、社会和公司治理(ESG)报告摘要,skipped_summary,
1225231183,603868,飞科电器,飞科电器：飞科电器2025年度环境、社会和治理（ESG）报告,downloaded,
1225229974,603920,世运电路,世运电路：世运电路2025年度环境、社会及治理（ESG）报告摘要,skipped_summary,
1225226991,300450,先导智能,先导智能：2025年度环境、社会及公司治理（ESG）报告,downloaded,
1225234099,688279,峰岹科技,峰岹科技：2025年度环境、社会和管治（ESG）报告摘要,skipped_summary,
1225233171,002755,奥赛康,奥赛康：2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225237970,300428,立中集团,立中集团：立中四通轻合金集团股份有限公司2025年度可持续发展报告（ESG）-中文版,downloaded,
1225237621,000596,古井贡酒,古井贡酒：2025年环境、社会及治理（ESG）报告,downloaded,
1225237622,200596,古井贡Ｂ,古井贡Ｂ：2025年环境、社会及治理（ESG）报告（英文）,skipped_english,
1225237230,300948,冠中生态,冠中生态：2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225239448,600516,方大炭素,方大炭素：方大炭素2025年度环境、社会及治理（ESG）报告,downloaded,
1225240677,000568,泸州老窖,泸州老窖：2025年环境、社会及治理（ESG）报告,downloaded,
1225240678,000568,泸州老窖,泸州老窖：2025年环境、社会及治理（ESG）报告（英文版）,skipped_duplicate_normalized_filename,
1225243332,600679,上海凤凰,上海凤凰：上海凤凰2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225246648,688268,华特气体,华特气体：广东华特气体股份有限公司2025年度环境、社会及治理（ESG）报告（中文版）,skipped_duplicate_normalized_filename,
1225247508,600919,江苏银行,江苏银行：江苏银行2025年度可持续发展(ESG)报告摘要,skipped_summary,
1225244128,002568,百润股份,百润股份：上海百润投资控股集团股份有限公司2025年度环境、社会及治理（ESG）报告,downloaded,
1225250471,002893,京能热力,京能热力：2025年可持续发展（ESG）报告,downloaded,
1225249033,002582,好想你,好想你：2025年度环境、社会与公司治理(ESG)报告,downloaded,
1225249523,300149,睿智医药,睿智医药：2025年度环境、社会和公司治理(ESG)报告,downloaded,
1225251918,688400,凌云光,凌云光：2025年度环境、社会和公司治理（ESG）报告摘要,skipped_summary,
1225251867,300068,ST南都,南都电源：2025年度环境、社会与公司治理（ESG）报告,downloaded,
1225224023,301043,绿岛风,绿岛风：2025年度环境、社会及治理（ESG）报告,downloaded,
1225227829,000599,青岛双星,青岛双星：2025年度可持续发展暨环境、社会和治理（ESG）报告（英文版）,skipped_english,
1225230165,603920,世运电路,世运电路：世运电路2025年度环境、社会和治理（ESG）报告,downloaded,
1225240491,003012,东鹏控股,东鹏控股：2025年环境、社会及管治（ESG）报告,downloaded,
1225241998,002358,森源电气,森源电气：森源电气2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225247210,301588,美新科技,美新科技：美新科技股份有限公司2025年ESG报告,downloaded,
1225246325,000733,振华科技,振华科技：2025年度环境、社会及公司治理（ESG）报告,downloaded,
1225245918,000911,*ST广糖,广农糖业：广西农投糖业集团股份有限公司2025年度社会、环境及公司治理（ESG）报告,downloaded,
1225224551,002444,巨星科技,巨星科技：巨星科技2025年度ESG报告（英文版）,skipped_duplicate_normalized_filename,
1225229538,600259,中稀有色,中稀有色：中稀有色金属股份有限公司2025年度环境、社会和公司治理（ESG）报告摘要,skipped_summary,
1225228987,603421,鼎信通讯,鼎信通讯：鼎信通讯2025年ESG报告,downloaded,
1225225871,002517,恺英网络,恺英网络：2025年度可持续发展暨ESG报告(英文版）,skipped_english,
1225237201,300825,阿尔特,阿尔特：2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225244795,600100,同方股份,同方股份：同方股份有限公司2025年度环境、社会与公司治理（ESG）报告摘要,skipped_summary,
1225234641,688360,德马科技,德马科技：德马科技2025年可持续发展(ESG)报告摘要,skipped_summary,
1225233146,002649,博彦科技,博彦科技：2025环境、社会和治理（ESG）报告,downloaded,
1225235702,603185,弘元绿能,弘元绿能：2025年度环境、社会及治理（ESG)报告,skipped_duplicate_normalized_filename,
1225238099,002851,麦格米特,麦格米特：公司2025年度社会责任暨环境、社会及公司治理（ESG）报告,downloaded,
1225240317,688200,华峰测控,华峰测控：华峰测控2025年度环境、社会及管治（ESG）报告摘要,skipped_summary,
1225239863,301522,上大股份,上大股份：2025年环境、社会和公司治理（ESG）报告,downloaded,
1225241284,603373,安邦护卫,安邦护卫：安邦护卫2025年度社会责任（ESG）报告,downloaded,
1225246015,600199,金种子酒,金种子酒：2025年环境、社会和公司治理（ESG）报告,downloaded,
1225245883,601118,海南橡胶,海南橡胶：2025年度环境、社会及公司治理（ESG）报告摘要,skipped_summary,
1225241826,002037,保利联合,保利联合：2025年环境、社会及治理（ESG）报告,downloaded,
1225245406,301503,智迪科技,智迪科技：2025年度环境、社会和公司治理（ESG）报告（英文版）,skipped_english,
1225248193,300035,中科电气,中科电气：2025年度环境、社会与公司治理（ESG）报告,downloaded,
1225243173,002011,盾安环境,盾安环境：2025年度环境、社会及公司治理（ESG）报告,downloaded,
1225247744,300157,新锦动力,新锦动力：2025年度环境、社会及公司治理（ESG）报告,downloaded,
1225249487,002459,晶澳科技,晶澳科技：2025年度可持续发展暨ESG报告,downloaded,
1225249288,002203,海亮股份,海亮股份：2025年度环境、社会及公司治理（ESG）报告,downloaded,
1225250422,000651,格力电器,格力电器：2025年度环境、社会及公司治理（ESG）报告,skipped_duplicate_normalized_filename,
1225251975,688400,凌云光,凌云光：2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225267833,920039,国义招标,[临时公告]国义招标:2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225267014,920579,机科股份,[临时公告]机科股份:2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225226658,603328,依顿电子,依顿电子：2025年度环境、社会和公司治理（ESG）报告摘要,skipped_summary,
1225226691,605377,华旺科技,华旺科技：杭州华旺新材料科技股份有限公司2025年度环境、社会和公司治理(ESG)报告摘要,skipped_summary,
1225226761,605377,华旺科技,华旺科技：杭州华旺新材料科技股份有限公司2025年度环境、社会和公司治理(ESG)报告,downloaded,
1225232943,600877,电科芯片,电科芯片：中电科芯片技术股份有限公司2025年度ESG暨社会责任报告,downloaded,
1225227921,000551,创元科技,创元科技：2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225231695,600025,华能水电,华能水电：2025年度环境、社会和管治(ESG)报告摘要,skipped_summary,
1225234343,002807,江阴银行,江阴银行：2025年ESG报告,downloaded,
1225235603,603329,上海雅仕,上海雅仕：2025年度环境、社会及治理（ESG）报告,downloaded,
1225235634,603329,上海雅仕,上海雅仕：2025年度环境、社会和公司治理（ESG）报告摘要,skipped_summary,
1225238098,002851,麦格米特,麦格米特：公司2025年度社会责任暨环境、社会及公司治理（ESG）报告-英文版,skipped_duplicate_normalized_filename,
1225239487,603660,苏州科达,苏州科达：2025年苏州科达环境、社会和公司治理（ESG)报告,downloaded,
1225239677,600516,方大炭素,方大炭素：方大炭素2025年度环境、社会及治理（ESG）报告摘要,skipped_summary,
1225240458,001323,慕思股份,慕思股份：2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225246728,688613,奥精医疗,奥精医疗：奥精医疗：2025年环境、社会和公司治理(ESG)报告,downloaded,
1225249705,688509,正元地信,正元地信：正元地信2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225245405,301503,智迪科技,智迪科技：2025年度环境、社会和公司治理（ESG）报告（中文版）,skipped_duplicate_normalized_filename,
1225249226,002099,海翔药业,海翔药业：2025年度环境、社会及治理（ESG）报告,downloaded,
1225242385,000720,新能泰山,新能泰山：2025年度环境、社会及治理（ESG）报告,downloaded,
1225245748,002973,侨银股份,侨银股份：2025年度环境、社会及公司治理（ESG）报告（英文版）,skipped_english,
1225250123,300513,恒实科技,恒实科技：2025年度环境、社会及公司治理（ESG）报告,downloaded,
1225225332,603918,金桥信息,金桥信息：2025年环境、社会和公司治理(ESG)报告,downloaded,
1225225079,603683,晶华新材,晶华新材：晶华新材2025年度环境、社会和公司治理（ESG）报告摘要,skipped_summary,
1225226833,601555,东吴证券,东吴证券：东吴证券股份有限公司2025年度可持续发展暨ESG报告摘要,skipped_summary,
1225226968,688119,中钢洛耐,中钢洛耐：中钢洛耐2025年度环境、社会及治理（ESG）报告摘要,skipped_summary,
1225227873,001322,箭牌家居,箭牌家居：2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225226220,002427,尤夫股份,尤夫股份：2025年环境、社会、治理（ESG）报告,downloaded,
1225227830,000599,青岛双星,青岛双星：2025年度可持续发展暨环境、社会和治理（ESG）报告,skipped_duplicate_normalized_filename,
1225231189,603868,飞科电器,飞科电器：飞科电器2025年度环境、社会和治理（ESG）报告摘要,skipped_summary,
1225227192,000021,深科技,深科技：2025年环境、社会及治理（ESG）报告,downloaded,
1225226583,002132,恒星科技,恒星科技：公司2025年度环境、社会及治理(ESG)报告,downloaded,
1225240509,688200,华峰测控,华峰测控：华峰测控2025年度环境、社会及管治（ESG）报告（英文版）,skipped_english,
1225240530,688200,华峰测控,华峰测控：华峰测控2025年度环境、社会及管治（ESG）报告（中文版）,skipped_duplicate_normalized_filename,
1225240651,000425,徐工机械,徐工机械：2025年度环境、社会与治理（ESG）报告,downloaded,
1225248433,300261,雅本化学,雅本化学：2025年环境、社会及公司治理（ESG）报告（英文）,skipped_duplicate_normalized_filename,
1225247853,000547,航天发展,航天发展：2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225224745,603013,亚普股份,亚普股份：亚普汽车部件股份有限公司2025年度ESG报告,downloaded,
1225224767,603013,亚普股份,亚普股份：亚普汽车部件股份有限公司2025年度ESG报告摘要,skipped_summary,
1225224386,300972,万辰集团,万辰集团：2025年度环境、社会及公司治理（ESG）报告,downloaded,
1225229195,600259,中稀有色,中稀有色：中稀有色金属股份有限公司2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225229328,300844,山水比德,山水比德：2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225232292,603990,麦迪科技,麦迪科技：苏州麦迪斯顿医疗科技股份有限公司2025年度环境、社会和公司治理（ESG）报告摘要,skipped_summary,
1225232724,000883,湖北能源,湖北能源：湖北能源集团股份有限公司2025环境、社会及治理（ESG）报告,downloaded,
1225235713,603185,弘元绿能,弘元绿能：2025年度环境、社会及治理（ESG）报告摘要,skipped_summary,
1225236295,688818,电科蓝天,电科蓝天：2025年度环境、社会和公司治理（ESG）报告摘要,skipped_summary,
1225236522,688818,电科蓝天,电科蓝天：2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225234855,300547,川环科技,川环科技：2025年环境、社会及公司治理（ESG）报告,downloaded,
1225231163,000557,西部创业,西部创业：2025年度可持续发展（ESG）报告,downloaded,
